originals	tokenized	transliterated
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
hofaie	h o f a ie	h o f a i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
haie(j)aha	h a ie ( j ) a h a	h a i ( j ) a h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
ienoie	ie n o ie	i n o i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
iekoedaha	ie k oe d a h a	i k u d a h a
NA	NA	NA
ienaou(w)ĕ	ie n a o u ( w ) ĕ	i n a o u ( w ) ė
manoenoeq	m a n oe n oe q	m a n u n u '
NA	NA	NA
NA	NA	NA
NA	NA	NA
iedjo	ie dj o	i j o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaä(ä)ou(w)ĕ	k a ä ( ä ) o u ( w ) ĕ	k a ' a ( ʔ a ) o u ( w ) ė
kaärahĕaie	k a ä r a h ĕ a ie	k a ' a r a h ė a i
NA	NA	NA
kaädoie(j)ĕ; kaäroie(j)ĕ	k a ä d o ie ( j ) ĕ ; # k a ä r o ie ( j ) ĕ	k a ' a d o i ( j ) ė ; # k a ' a r o i ( j ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaäkènè; kakanie(q)	k a ä k è n è ; # k a k a n ie ( q )	k a ' a k E n E ; # k a k a n i ( ' )
kaäkieniefĕ	k a ä k ie n ie f ĕ	k a ' a k i n i f ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaäpĕaäaq	k a ä p ĕ a ä a q	k a ' a p ė a ' a a '
kaäfoho	k a ä f o h o	k a ' a f o h o
NA	NA	NA
NA	NA	NA
kabĕhao	k a b ĕ h a o	k a b ė h a o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaboe(w)ĕboe(w)ĕ	k a b oe ( w ) ĕ b oe ( w ) ĕ	k a b u ( w ) ė b u ( w ) ė
NA	NA	NA
kalèalèa	k a l è a l è a	k a l E a l E a
NA	NA	NA
NA	NA	NA
kariehie	k a r ie h ie	k a r i h i
kadiekofĕ	k a d ie k o f ĕ	k a d i k o f ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kahafa	k a h a f a	k a h a f a
kahoho	k a h o h o	k a h o h o
NA	NA	NA
NA	NA	NA
