originals	tokenized	transliterated
èkèèpa	è k è è p a	ɛ k ɛ ɛ p a
kieèèpa	k ie è è p a	k i ɛ ɛ p a
èkèh(è)	è k è h ( è )	ɛ k ɛ h ( ɛ )
èkèhèodo	è k è h è o d o	ɛ k ɛ h ɛ o d o
èkèkong	è k è k o n g	ɛ k ɛ k o n g
èkèma	è k è m a	ɛ k ɛ m a
èkèoäh	è k è o ä h	ɛ k ɛ o ʔ a h
èkèoq	è k è o q	ɛ k ɛ o ʔ
èkèponie	è k è p o n ie	ɛ k ɛ p o n i
èkieakie	è k ie a k ie	ɛ k i a k i
èkieakoqä	è k ie a k o qä	ɛ k i a k o ʔ a
èkieapo	è k ie a p o	ɛ k i a p o
èkiedapè(j)a	è k ie d a p è ( j ) a	ɛ k i d a p ɛ ( j ) a
èkiediebèie(j)oq	è k ie d ie b è ie ( j ) o q	ɛ k i d i b ɛ i ( j ) o ʔ
èkiedjaie	è k ie dj a ie	ɛ k i d͡ʒ a i
èkiedjè	è k ie dj è	ɛ k i d͡ʒ ɛ
èkiedjiekiedjie	è k ie dj ie k ie dj ie	ɛ k i d͡ʒ i k i d͡ʒ i
èkieèèo	è k ie è è o	ɛ k i ɛ ɛ o
ékiehie	é k ie h ie	e k i ç i
èkiehie(j)oedo	è k ie h ie ( j ) oe d o	ɛ k i ç i ( j ) u d o
èkieho	è k ie h o	ɛ k i ç o
èkiehöa	è k ie h ö a	ɛ k i ç ɨ a
èkiehoedo	è k ie h oe d o	ɛ k i ç u d o
èkiehoedo	è k ie h oe d o	ɛ k i ç u d o
èkiehohè(j)a	è k ie h o h è ( j ) a	ɛ k i ç o h ɛ ( j ) a
èieha kiehohè(j)a die(j)a	è ie h a # k ie h o h è ( j ) a # d ie ( j ) a	ɛ i ç a # k i ç o h ɛ ( j ) a # d i ( j ) a
èkieie	è k ie ie	ɛ k i i
èkieie(j)o	è k ie ie ( j ) o	ɛ k i i ( j ) o
èkieie(j)ahaq	è k ie ie ( j ) a h a q	ɛ k i i ( j ) a h a ʔ
èkie(j)aö	è k ie ( j ) a ö	ɛ k i ( j ) a ʔ o
èkie(j)oe	è k ie ( j ) oe	ɛ k i ( j ) u
èkie(j)oeqie	è k ie ( j ) oe q ie	ɛ k i ( j ) u ʔ i
èkieka	è k ie k a	ɛ k i k a
èkiekie	è k ie k ie	ɛ k i k i
èkiekohaq	è k ie k o h a q	ɛ k i k o h a ʔ
èkiemo	è k ie m o	ɛ k i m o
èkiemo	è k ie m o	ɛ k i m o
èkienono	è k ie n o n o	ɛ k i n o n o
èkieodoha	è k ie o d o h a	ɛ k i o d o h a
èkietjaho	è k ie tj a h o	ɛ k i t͡ʃ a h o
