originals	tokenized	transliterated
taka	t a k a	t a k a
tjientjien	tj ie n tj ie n	t͡ʃ i n t͡ʃ i n
wakiepörö	w a k ie p ö r ö	w a k i p ɨ r ɨ
(è)kahaèq	( è ) k a h a è q	( ɛ ) k a h a ɛ ʔ
adoe(w)a	a d oe ( w ) a	a d u ( w ) a
akoloe	a k o l oe	a k o l u
a(o)pa	a ( o ) p a	a ( o ) p a
adieba	a d ie b a	a d i b a
akieäkiena	a k ie ä k ie n a	a k i ʔ a k i n a
adieba hie adoe(w)a	a d ie b a # h ie # a d oe ( w ) a	a d i b a # h i # a d u ( w ) a
arieba hie aroe(w)a	a r ie b a # h ie # a r oe ( w ) a	a r i b a # h i # a r u ( w ) a
aliebĕ hie adoe(w)ĕ	a l ie b ĕ # h ie # a d oe ( w ) ĕ	a l i b ə # h i # a d u ( w ) ə
a(o)pa hie a(o)pa	a ( o ) p a # h ie # a ( o ) p a	a ( o ) p a # h i # a ( o ) p a
abaiekahaèq	a b a ie k a h a è q	a b a i k a h a ɛ ʔ
kiepa(a)oeq	k ie p a ( a ) oe q	k i p a ( a ) u ʔ
kiepa(a)oeq hie (è)kahaèq	k ie p a ( a ) oe q # h ie # ( è ) k a h a è q	k i p a ( a ) u ʔ # h i # ( ɛ ) k a h a ɛ ʔ
kiepa(a)oeq hie adoe(w)a	k ie p a ( a ) oe q # h ie # a d oe ( w ) a	k i p a ( a ) u ʔ # h i # a d u ( w ) a
kiepa(a)oeq hie aroe(w)a	k ie p a ( a ) oe q # h ie # a r oe ( w ) a	k i p a ( a ) u ʔ # h i # a r u ( w ) a
kiepa(a)oeq hie adoe(w)ĕ	k ie p a ( a ) oe q # h ie # a d oe ( w ) ĕ	k i p a ( a ) u ʔ # h i # a d u ( w ) ə
(è)kahaèq taka	( è ) k a h a è q # t a k a	( ɛ ) k a h a ɛ ʔ # t a k a
(è)kahaèq taka hie (è)kahaèq	( è ) k a h a è q # t a k a # h ie # ( è ) k a h a è q	( ɛ ) k a h a ɛ ʔ # t a k a # h i # ( ɛ ) k a h a ɛ ʔ
(è)kahaèq taka hie kiepa(a)oeq	( è ) k a h a è q # t a k a # h ie # k ie p a ( a ) oe q	( ɛ ) k a h a ɛ ʔ # t a k a # h i # k i p a ( a ) u ʔ
(è)kahaèq taka hie kiepa(a)oeq, hie (è)kahaèq	( è ) k a h a è q # t a k a # h ie # k ie p a ( a ) oe q , # h ie # ( è ) k a h a è q	( ɛ ) k a h a ɛ ʔ # t a k a # h i # k i p a ( a ) u ʔ , # h i # ( ɛ ) k a h a ɛ ʔ
adoe(w)a taka	a d oe ( w ) a # t a k a	a d u ( w ) a # t a k a
aroe(w)a taka	a r oe ( w ) a # t a k a	a r u ( w ) a # t a k a
adoe(w)ĕ taka	a d oe ( w ) ĕ # t a k a	a d u ( w ) ə # t a k a
adoe(w)a taka hie (è)kahaèq	a d oe ( w ) a # t a k a # h ie # ( è ) k a h a è q	a d u ( w ) a # t a k a # h i # ( ɛ ) k a h a ɛ ʔ
aroe(w)a taka hie (è)kahaèq	a r oe ( w ) a # t a k a # h ie # ( è ) k a h a è q	a r u ( w ) a # t a k a # h i # ( ɛ ) k a h a ɛ ʔ
adoe(w)ĕ taka hie (è)kahaèq	a d oe ( w ) ĕ # t a k a # h ie # ( è ) k a h a è q	a d u ( w ) ə # t a k a # h i # ( ɛ ) k a h a ɛ ʔ
adoe(w)a taka hie kiepa(a)oeq	a d oe ( w ) a # t a k a # h ie # k ie p a ( a ) oe q	a d u ( w ) a # t a k a # h i # k i p a ( a ) u ʔ
aroe(w)a taka hie kiepa(a)oeq	a r oe ( w ) a # t a k a # h ie # k ie p a ( a ) oe q	a r u ( w ) a # t a k a # h i # k i p a ( a ) u ʔ
adoe(w)ĕ taka hie kiepa(a)oeq	a d oe ( w ) ĕ # t a k a # h ie # k ie p a ( a ) oe q	a d u ( w ) ə # t a k a # h i # k i p a ( a ) u ʔ
akaloe taka	a k a l oe # t a k a	a k a l u # t a k a
akoloe taka hie kiepa(a)oeq	a k o l oe # t a k a # h ie # k ie p a ( a ) oe q	a k o l u # t a k a # h i # k i p a ( a ) u ʔ
a(o)pa taka	a ( o ) p a # t a k a	a ( o ) p a # t a k a
a(o)fa taka	a ( o ) f a # t a k a	a ( o ) f a # t a k a
a(o)pa taka hie kiepa(a)oeq	a ( o ) p a # t a k a # h ie # k ie p a ( a ) oe q	a ( o ) p a # t a k a # h i # k i p a ( a ) u ʔ
a(o)fa taka hie kiepa(a)oeq	a ( o ) f a # t a k a # h ie # k ie p a ( a ) oe q	a ( o ) f a # t a k a # h i # k i p a ( a ) u ʔ
adieba taka	a d ie b a # t a k a	a d i b a # t a k a
arieba taka	a r ie b a # t a k a	a r i b a # t a k a
aliebĕ taka	a l ie b ĕ # t a k a	a l i b ə # t a k a
kiepa(a)oeq taka	k ie p a ( a ) oe q # t a k a	k i p a ( a ) u ʔ # t a k a
kiefa(a)oeq taka	k ie f a ( a ) oe q # t a k a	k i f a ( a ) u ʔ # t a k a
(è)kahaèq koedodoka	( è ) k a h a è q # k oe d o d o k a	( ɛ ) k a h a ɛ ʔ # k u d o d o k a
